Date,Total,China,Hong Kong,Macau,Taipei,Japan,South Korea,Viet Nam,Singapore,Australia,Malaysia,Cambodia,Philippines,Thailand,Nepal,Sri Lanka,India,USA,Canada,France,Finland,Germany,UAE
23-01-20,654,643,0,0,1,2,1,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
24-01-20,941,920,0,0,3,2,2,2,3,0,0,0,0,5,0,0,0,2,0,2,0,0,0
25-01-20,1437,1406,0,3,3,2,2,2,3,0,3,0,0,7,1,0,0,2,0,3,0,0,0
26-01-20,2122,2075,0,4,4,4,3,2,4,4,4,0,0,8,1,0,0,5,1,3,0,0,0
27-01-20,2931,2877,0,4,5,4,4,2,5,5,4,1,0,8,1,1,0,5,1,3,0,1,0
28-01-20,5582,5509,0,4,8,7,4,2,7,5,4,1,0,14,1,1,0,5,2,4,0,4,0
29-01-20,6174,6087,0,7,8,7,4,2,7,6,7,1,0,14,1,1,0,6,2,5,1,4,4
30-01-20,8243,8141,0,8,9,11,4,2,10,9,8,1,1,14,1,1,1,6,2,5,1,4,4
31-01-20,9929,9802,0,8,10,15,11,2,13,9,8,1,1,19,1,1,1,8,4,5,1,5,4
01-02-20,12038,11891,0,8,10,20,12,6,16,12,8,1,1,19,1,1,1,8,4,6,1,8,4
02-02-20,16787,16630,0,8,10,20,15,6,18,12,8,1,2,19,1,1,2,8,4,6,1,10,5
03-02-20,19881,19716,0,8,10,20,15,8,18,12,8,1,2,19,1,1,3,11,4,6,1,12,5
04-02-20,23893,23707,0,10,11,22,16,8,24,13,10,1,2,25,1,1,3,11,4,6,1,12,5
05-02-20,27639,27440,0,12,11,23,19,8,28,13,12,1,2,25,1,1,3,11,5,6,1,12,5
06-02-20,30799,30587,0,12,16,23,23,10,28,14,12,1,2,25,1,1,3,12,5,6,1,12,5
07-02-20,34330,34110,0,12,16,23,24,10,30,15,12,1,3,25,1,1,3,12,7,6,1,13,5
08-02-20,37064,36814,0,16,17,24,24,13,33,15,16,1,3,32,1,1,3,12,7,11,1,13,7
09-02-20,40089,39829,0,16,18,24,25,13,40,15,16,1,3,32,1,1,3,12,7,11,1,14,7
10-02-20,42629,42354,0,18,18,26,27,14,45,15,18,1,3,32,1,1,3,12,7,11,1,14,8
11-02-20,44670,44386,0,18,18,27,28,15,47,15,18,1,3,33,1,1,3,13,7,11,1,16,8
12-02-20,45047,44759,0,18,18,28,28,15,50,15,18,1,3,33,1,1,3,13,7,11,1,16,8
13-02-20,60200,59895,0,19,18,33,28,16,58,15,19,1,3,33,1,1,3,14,7,11,1,16,8
14-02-20,66682,66358,0,19,18,43,28,16,67,15,19,1,3,33,1,1,3,14,7,11,1,16,8
15-02-20,68760,68413,0,22,18,54,28,16,72,15,22,1,3,33,1,1,3,14,7,12,1,16,8
16-02-20,70874,70513,0,22,20,60,29,16,75,15,22,1,3,34,1,1,3,14,7,12,1,16,9
17-02-20,72809,72434,0,22,22,67,30,16,77,15,22,1,3,35,1,1,3,14,8,12,1,16,9
18-02-20,74603,74211,0,22,22,79,31,16,81,15,22,1,3,35,1,1,3,14,8,12,1,16,9
19-02-20,75021,74619,0,22,23,85,31,16,84,15,22,1,3,35,1,1,3,14,8,12,1,16,9
20-02-20,75563,75077,0,22,24,95,104,16,84,15,22,1,3,35,1,1,3,14,8,12,1,16,9
21-02-20,76159,75550,0,22,26,112,204,16,85,15,22,1,3,35,1,1,3,16,9,12,1,16,9
22-02-20,77868,77001,0,22,26,137,433,16,85,15,22,1,3,35,1,1,3,16,9,12,1,16,13
23-02-20,78076,77022,0,22,28,149,602,16,89,15,22,1,3,35,1,1,3,16,9,12,1,16,13
24-02-20,78540,77241,0,22,30,160,833,16,89,15,22,1,3,35,1,1,3,16,10,12,1,16,13
25-02-20,79219,77754,0,22,31,173,977,16,91,15,22,1,3,37,1,1,3,16,11,14,1,17,13
26-02-20,79955,78166,0,22,32,192,1261,16,93,15,22,1,3,40,1,1,3,16,11,18,2,27,13
27-02-20,80964,78600,0,23,32,218,1766,16,93,15,23,1,3,40,1,1,3,17,13,38,2,46,13
28-02-20,81912,78928,0,23,34,236,2337,16,93,15,23,1,3,41,1,1,3,17,14,57,2,48,19
29-02-20,83282,79356,0,25,39,245,3150,16,102,25,25,1,3,42,1,1,3,25,20,100,3,79,21
01-03-20,84568,79932,0,29,40,259,3736,16,106,27,29,1,3,42,1,1,3,32,24,130,6,130,21
02-03-20,85515,80136,0,29,41,278,4335,16,108,30,29,1,3,43,1,1,5,55,27,191,6,159,21
03-03-20,86615,80261,0,36,42,298,5186,16,110,39,36,1,3,43,1,1,5,74,30,204,6,196,27
04-03-20,87460,80386,0,50,42,333,5621,16,110,52,50,1,3,43,1,1,28,107,33,288,6,262,27
05-03-20,88529,80537,0,50,44,365,6088,16,117,55,50,1,3,47,1,1,30,184,37,380,12,482,29
06-03-20,89863,80690,0,83,45,420,6593,16,130,60,83,1,5,48,1,1,31,237,49,656,15,670,29
07-03-20,91095,80770,0,93,45,466,7041,18,138,63,93,1,6,50,1,1,34,403,54,959,15,799,45
08-03-20,92065,80823,0,99,45,499,7314,30,150,76,99,2,10,50,1,1,39,519,64,1136,23,1040,45
09-03-20,92673,80860,0,117,45,527,7478,30,150,91,117,2,20,50,1,1,43,594,77,1219,30,1176,45
10-03-20,93960,80887,0,129,47,585,7513,31,160,107,129,2,33,53,1,1,56,782,79,1794,40,1457,74
11-03-20,95773,80921,2,149,48,640,7755,38,178,128,149,3,49,59,1,2,62,1147,108,2293,59,1908,74
12-03-20,96610,80932,2,149,49,696,7869,39,178,128,149,3,52,70,1,2,73,1586,117,2293,59,2078,85
13-03-20,100791,80945,2,197,50,733,7979,47,200,200,197,5,64,75,1,6,82,2219,193,3681,155,3675,85
14-03-20,103784,80977,2,238,53,795,8086,53,212,250,238,7,111,82,1,10,102,2978,198,4496,225,4585,85
15-03-20,106014,81003,3,428,59,826,8162,56,226,297,428,7,140,114,1,18,113,3212,252,4532,244,5795,98
16-03-20,111866,81033,6,566,67,843,8236,61,243,377,566,7,142,147,1,28,119,4679,415,6683,277,7272,98
17-03-20,117451,81058,8,673,77,893,8320,66,266,452,673,33,187,177,1,44,142,6512,478,7715,321,9257,98
18-03-20,125471,81102,9,790,100,928,8413,75,313,568,790,35,202,212,1,51,156,9169,657,9124,336,12327,113
19-03-20,135794,81156,12,900,108,968,8565,85,345,681,900,37,217,272,1,60,194,13663,800,10970,400,15320,140
20-03-20,149500,81250,24,1030,135,1022,8652,91,385,791,1030,51,230,322,1,73,244,20030,943,12758,450,19848,140
21-03-20,161136,81305,24,1183,153,1059,8799,94,432,1071,1183,53,307,411,1,77,330,26025,1277,14463,523,22213,153
